"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer"
"1","1","2.54-2P WZDK-R PITCH CONNECTOR","BATT1","CONN-TH_2.54-2P-WZDK-R-PITCH-CONNECTOR","","2.54-2P WZDK-R Pitch Connector","SHOU HAN(首韩)"
"2","3","JST_3PIN","BTN1,BTN2,BTN3","3PIN_2.54_MM_JST_XHP_JST_CONNECTOR-TRUNG","","",""
"3","1","SEEED XIAO ESP32S3","U1","SEEEDUINO XIAO ESP32S3","","Xiao","Seeeduino"
