"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer"
"1","1","2.54-2P WZDK-R PITCH CONNECTOR","BATT","CONN-TH_2.54-2P-WZDK-R-PITCH-CONNECTOR","","2.54-2P WZDK-R Pitch Connector","SHOU HAN(首韩)"
"2","1","SEEED XIAO ESP32S3","U1","SEEEDUINO XIAO ESP32S3","","Xiao","Seeeduino"
"3","1","HW-123","U2","MPU6050  HW-123","","",""
"4","1","NK236H","U3","APEM NK236","","",""
"5","1","MMA8451 Accelerometer","U4","MMA8451","","","Adadruit"
