"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer"
"1","1","2.54-2P WZDK-R PITCH CONNECTOR","BATT","CONN-TH_2.54-2P-WZDK-R-PITCH-CONNECTOR","","2.54-2P WZDK-R Pitch Connector","SHOU HAN(首韩)"
"2","8","JST_3PIN","PWR1,PWR2,PWR3,PWR4,PWR5,PWR6,PWR7,PWR8","3PIN_2.54_MM_JST_XHP_JST_CONNECTOR-TRUNG","","",""
"3","1","DS-3P-BU","SW1","SW-TH_6P-L9.0-W9.9-P2.54-LS7.6-BL","","DS-3P-BU","DORABO(地博电气)"
"4","1","SEEED XIAO ESP32S3 USBsolder","U1","SEEEDUINO XIAO ESP32S3","","Xiao","Seeeduino"
"5","1","CD4051BE","U2","DIP-16_L20.0-W6.4-P2.54-LS7.6-BL","","CD4051BE","TI"
